method,seed,episode,step,reward,speed,collision,action,ttc_min,thw_min,drac_max,density,risk_score,target_gap_size,target_rear_distance,target_rear_relative_speed,p_yield,p_block
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,0,0.9824417009602194,29.34156378600823,0,3,0.9770571344267439,0.40932250218922356,6.290410105282197,0.0375,6.763426773693666,200.0,0.0,-29.34156378600823,0.9999999999969011,3.098854506333737e-12
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,1,0.9976877960112223,29.913292350420836,0,3,2.7533640305669884,0.03503358889197306,1.9566654416854128,0.05,9.55219134165007,200.0,0.0,-29.913292350420836,0.9999999999969011,3.098854506333737e-12
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,2,0.9996955122319305,29.988581708697392,0,1,1.5707348229064328,0.6093253239900337,3.703133891749034,0.05,4.186452577138276,200.0,0.0,-29.988581708697392,0.9999999999969011,3.098854506333737e-12
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,3,0.9999599028453572,29.99849635670089,0,1,0.5958495615584227,0.2170566354656561,9.169999450820848,0.05,10.880949648830287,200.0,0.0,-29.99849635670089,0.9999999999969011,3.098854506333737e-12
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,4,0.9999947197162612,29.99980198935979,0,1,3.0884912637769935,0.20611254330637113,1.5907238300478075,0.05,5.1745916318903475,200.0,0.0,-29.99980198935979,0.9999999999969011,3.098854506333737e-12
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,5,0.9661939729393905,29.999973924524745,0,0,2.1152280182579424,0.6787338363796105,2.3235062652228065,0.075,3.0680327991132152,85.13806450505928,13.774587615144014,-9.705438899398938,0.9999969990172559,3.000982744083558e-06
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,6,0.9328468475320109,29.999996566192557,0,0,1.1536435863053895,0.376463555023569,4.2429785525451935,0.075,5.56014814452799,80.98800349083325,61.06541185418786,-10.387069500173826,0.9999950620750068,4.937924993231313e-06
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,7,0.9333332099499038,29.999999547811367,0,1,0.15730502449246517,0.05101205156885875,30.922802965136505,0.075,20.379578506423414,80.95004185227242,71.42979957491377,-10.30361061275477,0.9999950395295988,4.960470401216277e-06
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,8,0.9333333317444655,29.999999940452525,0,1,3.562535419468905,0.038301999341635945,1.5270850892686287,0.0625,9.215701840264002,83.5151226661551,0.757696314514078,-10.217839020972036,0.9999963537757074,3.646224292608302e-06
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,9,0.9333333331242112,29.999999992158358,0,1,2.5703377607508258,0.5509770186696307,2.1110595295513424,0.075,3.1301573414736468,85.07860094439678,10.942582488849212,-10.139675299722406,0.9999969775268438,3.0224731562000784e-06
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,10,0.9661946652640809,29.999999998967358,0,2,1.5997183756321904,0.5775669508670401,3.3853730021510238,0.075,4.063958462612535,77.33494821472624,60.007939689311456,-8.591761328959127,0.9999923453820634,7.654617936614372e-06
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,11,0.966666554598699,29.999999999864013,0,1,0.6015631111531224,0.2168505559764768,8.988545176425376,0.0875,10.770894592647746,75.27843334274894,68.77291666348412,-8.990015809737155,0.9999902028771126,9.797122887400533e-06
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,12,0.9666666666654521,29.99999999998209,0,1,1.968740650641975,0.22410566627801146,2.21174897981482,0.0875,5.430995056264094,67.73402979148,4.302871092642931,-10.79981124926546,0.9999757745736487,2.4225426351276447e-05
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,13,0.9666666666665925,29.99999999999764,0,1,0.9639146404608493,0.2808064990020202,4.533370985487885,0.075,6.62890755761713,67.95599152219359,15.097377689437621,-10.786800110383556,0.9999764112952229,2.3588704777144365e-05
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,14,0.9666666666666585,29.99999999999969,0,1,3.6782060894860753,0.015442940305155304,1.3190397881524782,0.0875,9.089550881797292,74.54746657126361,0.3278413888626801,-8.77079219471943,0.9999893047055461,1.0695294453855198e-05
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,15,0.9666666666666656,29.99999999999996,0,1,2.6740138107071294,0.4298158183227065,1.7563248974008305,0.0875,3.3152826788999863,73.95168466980874,9.111173657045356,-8.802144386866917,0.9999885120701079,1.148792989213998e-05
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,16,0.9995279986842308,29.999999999999996,0,2,1.7029000637346905,0.48839959064838095,2.595507240671751,0.075,3.8050408760971286,200.0,0.0,-29.999999999999996,0.9999999999969011,3.098854506333737e-12
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,17,0.9999998879356521,29.999999999999996,0,3,0.7013476829370037,0.20149399227600878,6.1445011207158675,0.075,9.105368713503331,200.0,0.0,-29.999999999999996,0.9999999999969011,3.098854506333737e-12
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,18,0.9999999999992628,29.999999999999996,0,3,0.03403237907630651,0.011959668790170025,154.8908601225646,0.075,24.02250000000155,200.0,0.0,-29.999999999999996,0.9999999999969011,3.098854506333737e-12
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,19,0.9999999999999888,29.999999999999996,0,3,2.9189202801142065,0.5231144327446778,1.6142591468600962,0.0875,2.8667000199211574,200.0,0.0,-29.999999999999996,0.9999999999969011,3.098854506333737e-12
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,20,0.9661946652911085,29.999999999999996,0,0,1.9458805979808635,0.6118706067275905,2.423921072757373,0.075,3.2982304241763387,74.07754756627526,55.721429364447545,-8.417516131299998,0.9999886842729298,1.1315727070249082e-05
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,21,0.9666665546023249,29.999999999999996,0,3,0.9448599761332782,0.2973955314891214,4.996786483542477,0.0875,6.7727063349123435,73.15169736298833,64.22983141831469,-8.631304426775053,0.9999873545909429,1.2645409057099322e-05
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,22,0.9666666666659296,29.999999999999996,0,1,0.9774259842469233,0.025511259773192265,5.349855985920952,0.1,12.263018149389127,70.03813155829039,0.5242219582872849,-9.451349602180454,0.9999816263716044,1.8373628395629282e-05
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,23,0.9666666666666552,29.999999999999996,0,3,4.272553644601119,0.01177827323067264,1.0711235581751362,0.0875,8.902985535132428,69.90388152688422,9.978967230628541,-9.459751667449357,0.9999813279808237,1.867201917626904e-05
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,24,0.9666666666666667,29.999999999999996,0,1,3.26596694649755,0.5450270617589137,1.403760734152917,0.0875,2.642520979605916,69.77610805623863,19.441937438195282,-9.467706399771536,0.9999810394855382,1.896051446181879e-05
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,25,0.9995279986845969,29.999999999999996,0,2,2.2917913268963543,0.7015905937847303,2.003663901008729,0.0875,2.8050543838208397,200.0,0.0,-29.999999999999996,0.9999999999969011,3.098854506333737e-12
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,26,0.9999998879356525,29.999999999999996,0,1,1.2896777259876375,0.3953729741826162,3.56562643047359,0.0875,4.964419245869486,200.0,0.0,-29.999999999999996,0.9999999999969011,3.098854506333737e-12
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,27,0.9999999999992628,29.999999999999996,0,3,0.2888016455147901,0.08864808716092891,15.94267897468093,0.075,17.485084149124024,200.0000000000001,0.0,-29.999999999999996,0.9999999999969011,3.098854506333737e-12
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,28,0.9999999999999888,29.999999999999996,0,1,0.8168061995226465,0.2768782255799048,6.225038064408596,0.0875,7.874910316516415,200.0,0.0,-29.999999999999996,0.9999999999969011,3.098854506333737e-12
official_sb3_dqn_highway_fast_steps100000_seed0,0,0,29,0.9661946652911085,29.999999999999996,0,0,0.30582473686031064,0.07929561894109172,15.67730467907524,0.0875,17.296109032646655,67.56950054690697,1.5747913512827836,-10.140247691960287,0.9999752915378144,2.4708462185607516e-05
